Ecole_BID,Chaires
B00605144,",,,"
B00604492,"Chaire Leadership & Diversity,,,"
B00604867,",,,"
B00529195,"Filière Négoc Gouvernance Int,,,"
B00604795,",,,"
B00692925,"ESSEC Chaires et Filières,,,"
B00529111,",,,"
B00696268,"Chaire Digital Disruption,,,"
B00604742,",,,"
B00684775,"Chaire Economie Urbaine,,,"
B00605672,",,,"
B00692266,"Accenture Bus Analytics Chair,,,"
B00414987,",,,"
B00721369,"Chaire Digital Disruption,,,"
B00692764,"Chaire Immob. Dévt. durable,,,"
B00606715,",,,"
B00691498,"Filière conseil en stratégie,,,"
B00693262,"Accenture Bus Analytics Chair,,,"
B00602701,"ESSEC Chaires et Filières,,,"
B00602722,"Chaire Entrepreneuriat Social,,,"
B00695212,"Chaire Digital Disruption,,,"
B00690738,"ESSEC Chaires et Filières,,,"
B00715167,"Filière Economie,,,"
B00526855,"Chaire Immob. Dévt. durable,,,"
B00677244,"Chaire Media & Entertainement,Ch Mgmt Savoir-Faire Exception,,"
B00602557,"Chaire Immob. Dévt. durable,Filière Immobilier-RICS,,"
B00460188,",,,"
B00602846,"Accenture Bus Analytics Chair,ESSEC Chaires et Filières,Filière conseil en stratégie,"
B00684937,"Chaire Media & Entertainement,,,"
B00688032,",,,"
B00717854,"Filière conseil en stratégie,,,"
B00560538,"ESSEC Chaires et Filières,Filière Agri Food,,"
B00716923,"Chaire Entrepreneuriat Social,,,"
B00684931,"Ch Mgmt Savoir-Faire Exception,,,"
B00700063,"Chaire Economie Urbaine,ESSEC Chaires et Filières,,"
B00684738,"Chaire Edgar Morin Complexité,,,"
B00504867,"Chaire Economie Urbaine,,,"
B00677967,",,,"
B00689518,"ESSEC Chaires et Filières,,,"
B00603050,"Chaire Media & Entertainement,,,"
B00684573,",,,"
B00603061,",,,"
B00684874,",,,"
B00603210,"Chaire Entrepreneuriat Social,ESSEC Chaires et Filières,Filière conseil en stratégie,"
B00684956,",,,"
B00603504,",,,"
B00684994,",,,"
B00696682,"Chaire Entrepreneuriat Social,,,"
B00477029,",,,"
B00477866,"Chaire Entrepreneuriat Social,,,"
B00603640,"Ch Mgmt Savoir-Faire Exception,,,"
B00528032,"Chaire Com. & Strat. de marque,,,"
B00677529,",,,"
B00603263,"ESSEC Chaires et Filières,,,"
B00684622,"ESSEC Chaires et Filières,,,"
B00460819,"ESSEC Chaires et Filières,,,"
B00715158,"ESSEC Chaires et Filières,,,"
B00603383,"Chaire ESSEC Santé,Chair Therapeutic Innovation,,"
B00603719,"Cursus Expertise Comptable,,,"
B00603739,"ESSEC Chaires et Filières,,,"
B00698093,",,,"
B00528266,"Filière conseil en stratégie,,,"
B00587646,"ESSEC Chaires et Filières,,,"
B00616034,"ESSEC Chaires et Filières,,,"
B00694459,"Ch Mgmt Savoir-Faire Exception,,,"
B00131030,"Accenture Bus Analytics Chair,,,"
B00697115,",,,"
B00684507,",,,"
B00697046,"Chaire Immob. Dévt. durable,,,"
B00694782,",,,"
B00528129,"Filière Sport Business,,,"
B00576952,"ESSEC Chaires et Filières,,,"
B00603881,"Chaire Immob. Dévt. durable,,,"
B00603900,"Accenture Bus Analytics Chair,,,"
B00603904,"ESSEC Chaires et Filières,,,"
B00603918,"Filière Agri Food,Filière conseil en stratégie,,"
B00451514,",,,"
B00571609,"Filière Agri Food,,,"
B00528204,"Chaire Digital Disruption,Filières comptables,Filière Négoc Gouvernance Int,"
B00674967,"Chaire Immob. Dévt. durable,Filière Immobilier-RICS,,"
B00693519,"ESSEC Chaires et Filières,,,"
B00684572,"Chaire Economie Urbaine,,,"
B00739906,"Filière Sport Business,,,"
B00604008,",,,"
B00204176,"Chaire Leadership & Diversity,,,"
B00684758,",,,"
B00689456,"Filière conseil en stratégie,,,"
B00684519,"Chaire Digital Disruption,,,"
B00634207,"ESSEC Chaires et Filières,,,"
B00534299,",,,"
B00681529,"Filière conseil en stratégie,,,"
B00698103,"ESSEC Chaires et Filières,,,"
B00604371,",,,"
B00604421,"Accenture Bus Analytics Chair,Chaire Leadership & Diversity,,"
B00695197,",,,"
B00685007,",,,"
B00684802,",,,"
B00604482,",,,"
B00655890,",,,"
B00528956,"Chaire Grande Consommation,,,"
B00693520,"Filière Sport Business,,,"
B00604227,",,,"
B00678961,"Ch Mgmt Savoir-Faire Exception,,,"
B00684761,"ESSEC Chaires et Filières,,,"
B00685917,",,,"
B00694430,"Chaire Media & Entertainement,,,"
B00604170,"Filière conseil en stratégie,Filière Négoc Gouvernance Int,,"
B00697574,"Filière Agri Food,,,"
B00697708,"Chaire Economie Urbaine,,,"
B00696246,",,,"
B00666979,"Ch Mgmt Savoir-Faire Exception,,,"
B00460140,",,,"
B00692554,"Chaire Media & Entertainement,,,"
B00526964,"Chaire Digital Disruption,,,"
B00749161,"Ch Mgmt Savoir-Faire Exception,,,"
B00602511,"Chaire LVMH,,,"
B00527200,"ESSEC Chaires et Filières,,,"
B00602561,"Chaire ESSEC Santé,,,"
B00637003,",,,"
B00602611,"Accenture Bus Analytics Chair,Chaire Digital Disruption,Fil Business Analytics Methods,"
B00654729,",,,"
B00693384,"Filière conseil en stratégie,,,"
B00676458,"Fil Business Analytics Methods,,,"
B00527114,",,,"
B00672595,"ESSEC Chaires et Filières,Filière conseil en stratégie,,"
B00694020,"Chaire Immob. Dévt. durable,Chaire Vente Stratégie Market.,ESSEC Chaires et Filières,Filière Immobilier-RICS"
B00603002,",,,"
B00527187,"Chaire ESSEC Santé,,,"
B00603024,"ESSEC Chaires et Filières,,,"
B00600626,",,,"
B00723754,",,,"
B00676683,"Chaire Economie Urbaine,,,"
B00527488,"ESSEC Chaires et Filières,,,"
B00715155,",,,"
B00646215,"Filière conseil en stratégie,,,"
B00693524,",,,"
B00527360,",,,"
B00715156,",,,"
B00684864,"Accenture Bus Analytics Chair,,,"
B00677980,",,,"
B00527429,",,,"
B00672879,"Chaire Grande Consommation,,,"
B00527758,"Chaire Immob. Dévt. durable,,,"
B00527767,",,,"
B00695697,",,,"
B00527801,"Chaire LVMH,Ch Mgmt Savoir-Faire Exception,,"
B00697468,"Chaire Immob. Dévt. durable,,,"
B00697818,",,,"
B00603478,",,,"
B00689873,"Cursus Expertise Comptable,,,"
B00715157,"Accenture Bus Analytics Chair,,,"
B00719726,"ESSEC Chaires et Filières,Filière Agri Food,,"
B00674476,",,,"
B00547731,",,,"
B00603597,",,,"
B00677688,",,,"
B00695199,"Filière Négoc Gouvernance Int,,,"
B00712977,",,,"
B00674586,",,,"
B00689763,"Chaire Immob. Dévt. durable,,,"
B00560822,"Chaire ESSEC Santé,,,"
B00633676,"Chaire Immob. Dévt. durable,Filière Immobilier-RICS,,"
B00678541,"Chaire Grande Consommation,,,"
B00528214,"Filière conseil en stratégie,,,"
B00603804,",,,"
B00402156,",,,"
B00603763,"Chaire LVMH,Chaire Vente Stratégie Market.,,"
B00692523,",,,"
B00603826,"Chaire Media & Entertainement,Filière Agri Food,,"
B00699327,"ESSEC Chaires et Filières,,,"
B00271123,",,,"
B00603883,",,,"
B00677386,",,,"
B00528497,",,,"
B00528334,"Chaire ESSEC Santé,Chair Therapeutic Innovation,ESSEC Chaires et Filières,"
B00528347,"ESSEC Chaires et Filières,Filière conseil en stratégie,,"
B00528359,",,,"
B00322056,",,,"
B00603682,",,,"
